kontroll_id,batch_id,kontroll_typ,utfall,kommentar,tidsstämpel
K00102,B0052,Hanteringsetiketter,Godkänd,,2025-02-08 17:15
K00103,B0053,Syning,Godkänd,,2025-02-03 23:29
K00104,B0053,Syning,Godkänd,,2025-02-04 00:12
K00105,B0053,Syning,Godkänd,,2025-02-04 01:29
K00106,B0054,Syning,Godkänd,,2025-02-12 15:56
K00107,B0054,Hanteringsetiketter,Godkänd,,2025-02-12 12:43
K00108,B0055,Hanteringsetiketter,Godkänd,,2025-02-05 10:07
K00109,B0055,Syning,Godkänd,,2025-02-05 17:38
K00110,B0055,Syning,Godkänd,,2025-02-05 16:41
K00111,B0056,Syning,Godkänd,,2025-01-26 20:10
K00112,B0056,Hanteringsetiketter,Godkänd,,2025-01-26 17:00
K00113,B0057,Hanteringsetiketter,Godkänd,,2025-01-30 15:48
K00114,B0057,Hanteringsetiketter,Godkänd,,2025-01-30 20:02
K00115,B0057,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-01-30 17:01
K00116,B0058,Syning,Godkänd,,2025-02-12 11:02
K00117,B0058,Syning,Godkänd,,2025-02-12 15:44
K00118,B0058,Syning,Underkänd,Läckage,2025-02-12 08:40
K00119,B0059,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-01-15 14:16
K00120,B0059,Syning,Godkänd,,2025-01-15 12:02
K00121,B0060,Hanteringsetiketter,Underkänd,Saknad batch-etikett,2025-01-27 22:06
K00122,B0061,Hanteringsetiketter,Godkänd,,2025-01-07 16:34
K00123,B0061,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-01-07 16:53
K00124,B0061,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-01-07 17:02
K00125,B0062,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-01-09 22:54
K00126,B0062,Syning,Godkänd,,2025-01-10 04:05
K00127,B0062,Hanteringsetiketter,Godkänd,,2025-01-09 15:45
K00128,B0063,Hanteringsetiketter,Godkänd,,2025-02-05 23:24
K00129,B0064,Hanteringsetiketter,Godkänd,,2025-02-03 20:21
K00130,B0065,Syning,Godkänd,,2025-01-22 19:13
K00131,B0065,Hanteringsetiketter,Godkänd,,2025-01-22 17:56
K00132,B0065,Hanteringsetiketter,Godkänd,,2025-01-22 17:58
K00133,B0066,Hanteringsetiketter,Godkänd,,2025-01-05 14:50
K00134,B0067,Syning,Godkänd,,2025-02-07 21:05
K00135,B0067,Syning,Godkänd,,2025-02-08 01:50
K00136,B0067,Hanteringsetiketter,Godkänd,,2025-02-07 22:23
K00137,B0068,Syning,Godkänd,,2025-01-27 16:14
K00138,B0068,Hanteringsetiketter,Godkänd,,2025-01-27 22:00
K00139,B0068,Syning,Godkänd,,2025-01-27 16:59
K00140,B0069,Hanteringsetiketter,Godkänd,,2025-02-01 12:20
K00141,B0069,Syning,Godkänd,,2025-02-01 08:55
K00142,B0070,Hanteringsetiketter,Underkänd,Saknad batch-etikett,2025-01-10 01:57
K00143,B0070,Hanteringsetiketter,Godkänd,,2025-01-09 21:35
K00144,B0071,Hanteringsetiketter,Godkänd,,2025-01-09 19:35
K00145,B0072,Syning,Godkänd,,2025-01-25 14:38
K00146,B0072,Hanteringsetiketter,Godkänd,,2025-01-25 12:29
K00147,B0073,Syning,Godkänd,,2025-01-23 17:54
K00148,B0073,Hanteringsetiketter,Godkänd,,2025-01-23 15:46
K00149,B0073,Hanteringsetiketter,Underkänd,Saknad batch-etikett,2025-01-23 19:42
K00150,B0074,Syning,Godkänd,,2025-01-02 23:09
K00151,B0074,Syning,Godkänd,,2025-01-02 21:26
K00152,B0074,Syning,Godkänd,,2025-01-02 18:48
K00153,B0075,Hanteringsetiketter,Godkänd,,2025-02-14 11:18
K00154,B0075,Hanteringsetiketter,Godkänd,,2025-02-14 17:09
K00155,B0076,Syning,Godkänd,,2025-01-11 14:00
K00156,B0076,Hanteringsetiketter,Godkänd,,2025-01-11 18:35
K00157,B0076,Syning,Godkänd,,2025-01-11 18:47
K00158,B0077,Hanteringsetiketter,Godkänd,,2025-02-15 11:08
K00159,B0077,Hanteringsetiketter,Godkänd,,2025-02-15 18:42
K00160,B0078,Syning,Godkänd,,2025-02-14 03:39
K00161,B0078,Hanteringsetiketter,Godkänd,,2025-02-13 18:56
K00162,B0078,Syning,Godkänd,,2025-02-13 17:40
K00163,B0079,Syning,Godkänd,,2025-01-05 17:56
K00164,B0079,Syning,Godkänd,,2025-01-06 03:14
K00165,B0080,Syning,Godkänd,,2025-01-24 22:10
K00166,B0080,Hanteringsetiketter,Godkänd,,2025-01-25 04:10
K00167,B0080,Syning,Godkänd,,2025-01-24 22:30
K00168,B0081,Syning,Godkänd,,2025-02-10 01:47
K00169,B0082,Hanteringsetiketter,Godkänd,,2025-01-16 18:17
K00170,B0082,Syning,Godkänd,,2025-01-16 17:35
K00171,B0082,Syning,Godkänd,,2025-01-16 08:27
K00172,B0083,Hanteringsetiketter,Godkänd,,2025-01-22 16:49
K00173,B0083,Hanteringsetiketter,Godkänd,,2025-01-22 16:44
K00174,B0083,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-01-22 07:30
K00175,B0084,Hanteringsetiketter,Godkänd,,2025-01-18 21:49
K00176,B0084,Hanteringsetiketter,Godkänd,,2025-01-19 04:21
K00177,B0084,Syning,Godkänd,,2025-01-18 17:54
K00178,B0085,Hanteringsetiketter,Godkänd,,2025-01-27 23:05
K00179,B0085,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-01-27 17:17
K00180,B0086,Hanteringsetiketter,Godkänd,,2025-01-06 17:24
K00181,B0086,Syning,Godkänd,,2025-01-06 17:50
K00182,B0086,Syning,Godkänd,,2025-01-06 19:28
K00183,B0087,Syning,Godkänd,,2025-01-28 18:17
K00184,B0088,Hanteringsetiketter,Godkänd,,2025-01-21 19:02
K00185,B0088,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-01-21 11:15
K00186,B0089,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-02-07 18:10
K00187,B0090,Hanteringsetiketter,Godkänd,,2025-01-20 11:59
K00188,B0090,Hanteringsetiketter,Underkänd,Saknad batch-etikett,2025-01-20 13:26
K00189,B0091,Syning,Godkänd,,2025-02-14 14:40
K00190,B0091,Hanteringsetiketter,Godkänd,,2025-02-14 17:05
K00191,B0091,Syning,Godkänd,,2025-02-14 08:47
K00192,B0092,Hanteringsetiketter,Godkänd,,2025-01-29 18:30
K00193,B0092,Syning,Godkänd,,2025-01-29 15:25
K00194,B0093,Hanteringsetiketter,Godkänd,,2025-02-01 11:04
K00195,B0093,Hanteringsetiketter,Godkänd,,2025-02-01 09:00
K00196,B0093,Syning,Godkänd,,2025-02-01 12:31
K00197,B0094,Hanteringsetiketter,Godkänd,,2025-01-16 15:14
K00198,B0095,Hanteringsetiketter,Godkänd,,2025-01-29 23:34
K00199,B0095,Hanteringsetiketter,Godkänd,,2025-01-29 17:26
K00200,B0096,Syning,Godkänd,,2025-01-14 17:29
K00201,B0097,Hanteringsetiketter,Godkänd,,2025-01-11 15:23
K00202,B0097,Syning,Godkänd,,2025-01-11 15:19
K00203,B0098,Syning,Godkänd,,2025-02-15 16:45
K00204,B0098,Hanteringsetiketter,Godkänd,,2025-02-15 21:50
K00205,B0098,Hanteringsetiketter,Godkänd,,2025-02-15 19:58
K00206,B0099,Syning,Godkänd,,2025-01-28 16:33
K00207,B0099,Hanteringsetiketter,Godkänd,,2025-01-28 10:19
K00208,B0100,Syning,Godkänd,,2025-01-04 21:03
K00209,B0100,Syning,Godkänd,,2025-01-04 13:50
K00210,B0100,Hanteringsetiketter,Godkänd,,2025-01-04 19:16
K00211,B0101,Hanteringsetiketter,Godkänd,,2025-01-09 02:47
K00212,B0101,Syning,Godkänd,,2025-01-09 02:06
K00213,B0101,Syning,Godkänd,,2025-01-09 02:26
K00214,B0102,Hanteringsetiketter,Godkänd,,2025-01-06 19:22
K00215,B0102,Syning,Godkänd,,2025-01-06 22:35
K00216,B0103,Syning,Godkänd,,2025-02-13 19:07
K00217,B0103,Syning,Godkänd,,2025-02-13 19:56
K00218,B0103,Hanteringsetiketter,Godkänd,,2025-02-13 19:14
K00219,B0104,Hanteringsetiketter,Godkänd,,2025-02-07 21:46
K00220,B0105,Hanteringsetiketter,Godkänd,,2025-01-11 23:05
K00221,B0105,Syning,Godkänd,,2025-01-11 15:23
K00222,B0105,Syning,Underkänd,Läckage,2025-01-11 17:12
K00223,B0106,Hanteringsetiketter,Godkänd,,2025-01-30 11:32
K00224,B0106,Hanteringsetiketter,Godkänd,,2025-01-30 13:57
K00225,B0107,Hanteringsetiketter,Underkänd,Felaktig etikettplacering,2025-02-13 01:01
K00226,B0107,Syning,Godkänd,,2025-02-12 21:38
K00227,B0107,Syning,Godkänd,,2025-02-12 20:39
K00228,B0108,Hanteringsetiketter,Godkänd,,2025-01-04 21:09
K00229,B0108,Syning,Godkänd,,2025-01-04 13:37
K00230,B0109,Hanteringsetiketter,Godkänd,,2025-01-08 16:34
K00231,B0109,Syning,Godkänd,,2025-01-08 17:29
K00232,B0110,Syning,Godkänd,,2025-01-06 19:23
K00233,B0110,Syning,Godkänd,,2025-01-06 11:13
K00234,B0110,Syning,Godkänd,,2025-01-06 18:23
K00235,B0111,Syning,Godkänd,,2025-02-15 11:33
K00236,B0112,Syning,Godkänd,,2025-02-05 17:06
K00237,B0112,Hanteringsetiketter,Godkänd,,2025-02-05 13:52
K00238,B0113,Syning,Godkänd,,2025-01-28 01:25
K00239,B0114,Syning,Underkänd,Hål ytterpåse,2025-01-10 23:14
K00240,B0115,Syning,Underkänd,Läckage,2025-01-21 12:43
K00241,B0115,Syning,Underkänd,Läckage,2025-01-21 18:10
K00242,B0116,Hanteringsetiketter,Godkänd,,2025-01-21 14:43
K00243,B0117,Hanteringsetiketter,Godkänd,,2025-02-01 12:50
K00244,B0118,Hanteringsetiketter,Underkänd,Saknad batch-etikett,2025-02-03 18:55
K00245,B0118,Hanteringsetiketter,Godkänd,,2025-02-03 18:35
K00246,B0118,Hanteringsetiketter,Godkänd,,2025-02-03 15:14
K00247,B0119,Hanteringsetiketter,Godkänd,,2025-01-17 23:19
K00248,B0119,Hanteringsetiketter,Godkänd,,2025-01-17 12:30
K00249,B0120,Syning,Godkänd,,2025-01-22 04:41
K00250,B0120,Hanteringsetiketter,Godkänd,,2025-01-22 04:05
K00251,B0120,Hanteringsetiketter,Godkänd,,2025-01-22 01:58
K00252,B0121,Syning,Underkänd,Läckage,2025-01-15 08:50
K00253,B0121,Syning,Godkänd,,2025-01-15 10:47
K00254,B0121,Syning,Godkänd,,2025-01-15 11:18
K00255,B0122,Hanteringsetiketter,Godkänd,,2025-01-02 10:05
K00256,B0122,Syning,Godkänd,,2025-01-02 12:10
K00257,B0123,Syning,Godkänd,,2025-02-07 05:57
K00258,B0123,Hanteringsetiketter,Godkänd,,2025-02-06 20:09
K00259,B0124,Hanteringsetiketter,Godkänd,,2025-02-01 22:18
K00260,B0124,Hanteringsetiketter,Godkänd,,2025-02-01 21:54
K00261,B0125,Syning,Godkänd,,2025-01-30 15:08
K00262,B0126,Hanteringsetiketter,Godkänd,,2025-02-11 00:04
K00263,B0126,Hanteringsetiketter,Godkänd,,2025-02-10 23:06
K00264,B0127,Syning,Godkänd,,2025-01-07 14:15
K00265,B0127,Syning,Godkänd,,2025-01-07 20:42
K00266,B0127,Hanteringsetiketter,Godkänd,,2025-01-07 19:32
K00267,B0128,Syning,Godkänd,,2025-02-12 14:12
K00268,B0128,Syning,Godkänd,,2025-02-12 17:33
K00269,B0128,Syning,Godkänd,,2025-02-12 14:31
K00270,B0129,Syning,Godkänd,,2025-01-19 17:57
K00271,B0129,Hanteringsetiketter,Godkänd,,2025-01-19 20:22
K00272,B0129,Hanteringsetiketter,Godkänd,,2025-01-19 19:07
K00273,B0130,Hanteringsetiketter,Godkänd,,2025-02-10 10:24
K00274,B0130,Hanteringsetiketter,Godkänd,,2025-02-10 09:08
K00275,B0131,Hanteringsetiketter,Godkänd,,2025-01-06 11:54
K00276,B0131,Syning,Godkänd,,2025-01-06 11:35
K00277,B0132,Hanteringsetiketter,Godkänd,,2025-01-11 18:06
K00278,B0133,Syning,Underkänd,Läckage,2025-01-05 09:55
K00279,B0133,Hanteringsetiketter,Godkänd,,2025-01-05 09:26
K00280,B0133,Hanteringsetiketter,Godkänd,,2025-01-05 11:12
K00281,B0134,Hanteringsetiketter,Godkänd,,2025-01-06 17:03
K00282,B0134,Syning,Godkänd,,2025-01-06 19:03
K00283,B0135,Syning,Underkänd,Läckage,2025-02-07 15:01
K00284,B0135,Syning,Godkänd,,2025-02-07 22:01
K00285,B0136,Syning,Underkänd,Läckage,2025-02-09 10:19
K00286,B0137,Hanteringsetiketter,Godkänd,,2025-01-08 13:31
K00287,B0137,Syning,Godkänd,,2025-01-08 10:50
K00288,B0137,Hanteringsetiketter,Godkänd,,2025-01-08 10:12
K00289,B0138,Syning,Godkänd,,2025-01-25 16:09
K00290,B0138,Syning,Godkänd,,2025-01-25 21:23
K00291,B0138,Syning,Godkänd,,2025-01-25 15:22
K00292,B0139,Syning,Godkänd,,2025-02-02 03:12
K00293,B0139,Hanteringsetiketter,Godkänd,,2025-02-01 17:45
K00294,B0140,Syning,Godkänd,,2025-01-24 11:53
K00295,B0140,Syning,Godkänd,,2025-01-24 13:07
K00296,B0140,Hanteringsetiketter,Godkänd,,2025-01-24 18:00
K00297,B0141,Hanteringsetiketter,Godkänd,,2025-01-18 16:43
K00298,B0141,Syning,Underkänd,Partikel i lösning,2025-01-18 17:12
K00299,B0141,Hanteringsetiketter,Godkänd,,2025-01-18 11:37
K00300,B0142,Syning,Godkänd,,2025-01-04 16:56
K00301,B0143,Hanteringsetiketter,Godkänd,,2025-02-07 19:40
K00302,B0143,Hanteringsetiketter,Godkänd,,2025-02-07 16:03
K00303,B0144,Hanteringsetiketter,Godkänd,,2025-01-18 16:04
K00304,B0144,Syning,Godkänd,,2025-01-18 15:23
K00305,B0145,Syning,Godkänd,,2025-01-01 16:42
K00306,B0145,Syning,Godkänd,,2025-01-02 00:40
K00307,B0146,Hanteringsetiketter,Underkänd,Saknad batch-etikett,2025-01-27 20:15
K00308,B0147,Hanteringsetiketter,Godkänd,,2025-01-29 19:13
K00309,B0147,Hanteringsetiketter,Godkänd,,2025-01-29 16:25
K00310,B0148,Syning,Godkänd,,2025-01-30 22:02
K00311,B0149,Syning,Underkänd,Hål ytterpåse,2025-02-15 19:13
K00312,B0149,Syning,Godkänd,,2025-02-15 19:04
K00313,B0150,Syning,Godkänd,,2025-01-25 21:51
K00314,B0150,Syning,Godkänd,,2025-01-25 19:55
