stopp_id,batch_id,packlina_id,stopp_typ,starttid,sluttid,stopp_minuter
S00021,B0016,Packlina 3,Sammanräkning,2025-01-08 13:57,2025-01-08 14:31,34
S00022,B0016,Packlina 3,Urlastare,2025-01-08 15:46,2025-01-08 16:31,45
S00023,B0016,Packlina 3,Urlastare,2025-01-08 16:42,2025-01-08 16:50,8
S00024,B0018,Packlina 3,Väntar på påsar,2025-01-10 19:22,2025-01-10 19:44,22
S00025,B0018,Packlina 3,Lådresare,2025-01-10 16:08,2025-01-10 16:49,41
S00026,B0019,Packlina 1,Sammanräkning,2025-02-01 12:04,2025-02-01 12:40,36
S00027,B0020,Packlina 3,Urlastare,2025-01-06 16:53,2025-01-06 17:14,21
S00028,B0020,Packlina 3,Lådresare,2025-01-06 18:39,2025-01-06 19:19,40
S00029,B0020,Packlina 3,Sammanräkning,2025-01-07 00:25,2025-01-07 00:57,32
S00030,B0021,Packlina 2,Sammanräkning,2025-01-17 18:54,2025-01-17 19:07,13
S00031,B0021,Packlina 2,Väntar på påsar,2025-01-17 16:43,2025-01-17 16:51,8
S00032,B0022,Packlina 3,Väntar på påsar,2025-02-15 14:12,2025-02-15 14:44,32
S00033,B0023,Packlina 1,Sammanräkning,2025-01-05 18:26,2025-01-05 19:09,43
S00034,B0023,Packlina 1,Väntar på påsar,2025-01-05 20:57,2025-01-05 21:18,21
S00035,B0023,Packlina 1,Lådresare,2025-01-05 13:53,2025-01-05 14:32,39
S00036,B0024,Packlina 1,Sammanräkning,2025-01-15 08:16,2025-01-15 08:39,23
S00037,B0024,Packlina 1,Väntar på påsar,2025-01-15 08:39,2025-01-15 09:13,34
S00038,B0025,Packlina 2,Väntar på påsar,2025-02-04 16:57,2025-02-04 17:13,16
S00039,B0025,Packlina 2,Urlastare,2025-02-04 19:05,2025-02-04 19:29,24
S00040,B0026,Packlina 2,Väntar på påsar,2025-01-07 14:11,2025-01-07 14:26,15
S00041,B0027,Packlina 3,Väntar på påsar,2025-02-13 22:50,2025-02-13 23:26,36
S00042,B0027,Packlina 3,Lådresare,2025-02-13 19:13,2025-02-13 19:41,28
S00043,B0027,Packlina 3,Urlastare,2025-02-13 21:24,2025-02-13 21:32,8
S00044,B0027,Packlina 3,Väntar på påsar,2025-02-14 02:59,2025-02-14 03:09,10
S00045,B0028,Packlina 1,Urlastare,2025-01-13 10:34,2025-01-13 11:13,39
S00046,B0028,Packlina 1,Urlastare,2025-01-13 11:35,2025-01-13 12:10,35
S00047,B0028,Packlina 1,Sammanräkning,2025-01-13 13:55,2025-01-13 14:33,38
S00048,B0029,Packlina 1,Lådresare,2025-01-29 20:09,2025-01-29 20:26,17
S00049,B0030,Packlina 1,Sammanräkning,2025-01-12 00:33,2025-01-12 00:56,23
S00050,B0030,Packlina 1,Väntar på påsar,2025-01-11 21:55,2025-01-11 22:28,33
S00051,B0030,Packlina 1,Väntar på påsar,2025-01-11 17:19,2025-01-11 17:38,19
S00052,B0031,Packlina 1,Urlastare,2025-01-01 13:10,2025-01-01 13:52,42
S00053,B0031,Packlina 1,Väntar på påsar,2025-01-01 22:51,2025-01-01 23:10,19
S00054,B0034,Packlina 1,Lådresare,2025-01-12 08:29,2025-01-12 08:36,7
S00055,B0036,Packlina 3,Sammanräkning,2025-01-17 13:42,2025-01-17 14:04,22
S00056,B0036,Packlina 3,Urlastare,2025-01-17 13:18,2025-01-17 13:57,39
S00057,B0036,Packlina 3,Sammanräkning,2025-01-17 21:59,2025-01-17 22:29,30
S00058,B0036,Packlina 3,Sammanräkning,2025-01-17 13:47,2025-01-17 14:22,35
S00059,B0037,Packlina 3,Sammanräkning,2025-01-30 13:09,2025-01-30 13:20,11
S00060,B0038,Packlina 1,Sammanräkning,2025-02-04 17:01,2025-02-04 17:32,31
S00061,B0038,Packlina 1,Väntar på påsar,2025-02-04 10:43,2025-02-04 10:54,11
S00062,B0039,Packlina 1,Väntar på påsar,2025-01-19 21:16,2025-01-19 21:41,25
S00063,B0039,Packlina 1,Urlastare,2025-01-19 13:05,2025-01-19 13:22,17
S00064,B0039,Packlina 1,Urlastare,2025-01-19 18:00,2025-01-19 18:33,33
S00065,B0040,Packlina 3,Sammanräkning,2025-02-12 17:10,2025-02-12 17:32,22
S00066,B0040,Packlina 3,Sammanräkning,2025-02-12 17:44,2025-02-12 17:53,9
S00067,B0040,Packlina 3,Väntar på påsar,2025-02-12 22:30,2025-02-12 23:10,40
S00068,B0042,Packlina 2,Urlastare,2025-01-17 07:17,2025-01-17 07:27,10
S00069,B0042,Packlina 2,Sammanräkning,2025-01-17 09:52,2025-01-17 10:23,31
S00070,B0042,Packlina 2,Sammanräkning,2025-01-17 15:14,2025-01-17 15:32,18
S00071,B0042,Packlina 2,Sammanräkning,2025-01-17 08:02,2025-01-17 08:17,15
S00072,B0044,Packlina 3,Lådresare,2025-02-04 11:17,2025-02-04 11:51,34
S00073,B0044,Packlina 3,Sammanräkning,2025-02-04 13:59,2025-02-04 14:39,40
S00074,B0044,Packlina 3,Lådresare,2025-02-04 09:24,2025-02-04 09:41,17
S00075,B0045,Packlina 1,Väntar på påsar,2025-01-24 07:49,2025-01-24 08:31,42
S00076,B0046,Packlina 3,Sammanräkning,2025-02-09 09:17,2025-02-09 09:25,8
S00077,B0046,Packlina 3,Urlastare,2025-02-09 13:05,2025-02-09 13:43,38
S00078,B0048,Packlina 2,Väntar på påsar,2025-01-31 11:19,2025-01-31 11:35,16
S00079,B0048,Packlina 2,Sammanräkning,2025-01-31 11:06,2025-01-31 11:26,20
S00080,B0048,Packlina 2,Urlastare,2025-01-31 11:59,2025-01-31 12:40,41
S00081,B0048,Packlina 2,Väntar på påsar,2025-01-31 10:37,2025-01-31 11:21,44
S00082,B0049,Packlina 1,Lådresare,2025-01-03 03:03,2025-01-03 03:15,12
S00083,B0049,Packlina 1,Lådresare,2025-01-02 21:52,2025-01-02 22:10,18
S00084,B0049,Packlina 1,Sammanräkning,2025-01-02 21:29,2025-01-02 21:50,21
S00085,B0050,Packlina 2,Sammanräkning,2025-02-12 02:18,2025-02-12 02:42,24
S00086,B0051,Packlina 2,Sammanräkning,2025-02-07 11:18,2025-02-07 11:23,5
S00087,B0051,Packlina 2,Väntar på påsar,2025-02-07 15:59,2025-02-07 16:31,32
S00088,B0053,Packlina 2,Lådresare,2025-02-03 18:59,2025-02-03 19:36,37
S00089,B0053,Packlina 2,Väntar på påsar,2025-02-03 17:36,2025-02-03 18:03,27
S00090,B0053,Packlina 2,Lådresare,2025-02-03 19:31,2025-02-03 19:59,28
S00091,B0053,Packlina 2,Lådresare,2025-02-03 18:02,2025-02-03 18:35,33
S00092,B0054,Packlina 2,Väntar på påsar,2025-02-12 19:26,2025-02-12 20:04,38
S00093,B0054,Packlina 2,Lådresare,2025-02-12 19:40,2025-02-12 20:20,40
S00094,B0054,Packlina 2,Urlastare,2025-02-12 19:36,2025-02-12 19:47,11
S00095,B0054,Packlina 2,Väntar på påsar,2025-02-12 12:47,2025-02-12 12:59,12
S00096,B0055,Packlina 2,Lådresare,2025-02-05 10:59,2025-02-05 11:21,22
S00097,B0055,Packlina 2,Urlastare,2025-02-05 11:55,2025-02-05 12:21,26
S00098,B0055,Packlina 2,Sammanräkning,2025-02-05 12:50,2025-02-05 13:27,37
S00099,B0055,Packlina 2,Väntar på påsar,2025-02-05 12:37,2025-02-05 12:45,8
S00100,B0056,Packlina 1,Väntar på påsar,2025-01-26 20:14,2025-01-26 20:21,7
S00101,B0056,Packlina 1,Lådresare,2025-01-26 21:12,2025-01-26 21:25,13
S00102,B0056,Packlina 1,Sammanräkning,2025-01-26 18:16,2025-01-26 18:49,33
S00103,B0057,Packlina 3,Väntar på påsar,2025-01-30 13:51,2025-01-30 14:03,12
S00104,B0057,Packlina 3,Väntar på påsar,2025-01-30 16:14,2025-01-30 16:53,39
S00105,B0057,Packlina 3,Urlastare,2025-01-30 20:00,2025-01-30 20:42,42
S00106,B0057,Packlina 3,Väntar på påsar,2025-01-30 21:02,2025-01-30 21:15,13
S00107,B0058,Packlina 3,Lådresare,2025-02-12 13:49,2025-02-12 13:56,7
S00108,B0058,Packlina 3,Väntar på påsar,2025-02-12 11:11,2025-02-12 11:31,20
S00109,B0059,Packlina 1,Sammanräkning,2025-01-15 16:12,2025-01-15 16:23,11
S00110,B0059,Packlina 1,Urlastare,2025-01-15 14:50,2025-01-15 15:04,14
S00111,B0060,Packlina 1,Väntar på påsar,2025-01-27 19:55,2025-01-27 20:26,31
S00112,B0061,Packlina 3,Sammanräkning,2025-01-07 19:42,2025-01-07 20:08,26
S00113,B0062,Packlina 1,Väntar på påsar,2025-01-09 18:38,2025-01-09 18:53,15
S00114,B0063,Packlina 2,Urlastare,2025-02-05 14:25,2025-02-05 15:00,35
S00115,B0063,Packlina 2,Lådresare,2025-02-05 17:10,2025-02-05 17:44,34
S00116,B0063,Packlina 2,Urlastare,2025-02-05 18:58,2025-02-05 19:17,19
S00117,B0065,Packlina 1,Lådresare,2025-01-22 18:25,2025-01-22 18:51,26
S00118,B0067,Packlina 2,Sammanräkning,2025-02-08 00:01,2025-02-08 00:38,37
S00119,B0067,Packlina 2,Väntar på påsar,2025-02-08 03:11,2025-02-08 03:37,26
S00120,B0069,Packlina 2,Lådresare,2025-02-01 09:41,2025-02-01 10:23,42
S00121,B0069,Packlina 2,Sammanräkning,2025-02-01 07:18,2025-02-01 07:29,11
S00122,B0070,Packlina 1,Väntar på påsar,2025-01-09 22:08,2025-01-09 22:40,32
S00123,B0070,Packlina 1,Urlastare,2025-01-09 23:21,2025-01-10 00:02,41
S00124,B0071,Packlina 1,Väntar på påsar,2025-01-09 14:24,2025-01-09 14:56,32
S00125,B0071,Packlina 1,Urlastare,2025-01-09 18:28,2025-01-09 19:07,39
S00126,B0072,Packlina 2,Lådresare,2025-01-25 18:15,2025-01-25 18:24,9
S00127,B0072,Packlina 2,Väntar på påsar,2025-01-25 21:32,2025-01-25 21:57,25
S00128,B0073,Packlina 3,Sammanräkning,2025-01-23 18:38,2025-01-23 19:02,24
S00129,B0073,Packlina 3,Lådresare,2025-01-23 15:33,2025-01-23 16:03,30
S00130,B0074,Packlina 1,Sammanräkning,2025-01-02 17:51,2025-01-02 18:08,17
S00131,B0074,Packlina 1,Urlastare,2025-01-02 22:26,2025-01-02 22:55,29
S00132,B0074,Packlina 1,Lådresare,2025-01-02 22:01,2025-01-02 22:42,41
S00133,B0074,Packlina 1,Väntar på påsar,2025-01-02 20:13,2025-01-02 20:53,40
S00134,B0075,Packlina 1,Sammanräkning,2025-02-14 15:25,2025-02-14 15:43,18
S00135,B0075,Packlina 1,Lådresare,2025-02-14 23:56,2025-02-15 00:22,26
S00136,B0076,Packlina 3,Urlastare,2025-01-11 19:00,2025-01-11 19:33,33
S00137,B0076,Packlina 3,Urlastare,2025-01-11 20:11,2025-01-11 20:46,35
S00138,B0076,Packlina 3,Lådresare,2025-01-11 12:54,2025-01-11 13:17,23
S00139,B0078,Packlina 3,Urlastare,2025-02-14 03:52,2025-02-14 04:14,22
S00140,B0079,Packlina 2,Väntar på påsar,2025-01-05 17:18,2025-01-05 17:24,6
S00141,B0080,Packlina 1,Väntar på påsar,2025-01-25 01:06,2025-01-25 01:50,44
S00142,B0081,Packlina 3,Urlastare,2025-02-09 22:25,2025-02-09 23:10,45
S00143,B0081,Packlina 3,Sammanräkning,2025-02-10 03:36,2025-02-10 04:05,29
S00144,B0081,Packlina 3,Urlastare,2025-02-09 22:10,2025-02-09 22:30,20
S00145,B0084,Packlina 2,Sammanräkning,2025-01-18 20:04,2025-01-18 20:20,16
S00146,B0084,Packlina 2,Urlastare,2025-01-18 17:11,2025-01-18 17:51,40
S00147,B0084,Packlina 2,Urlastare,2025-01-18 18:24,2025-01-18 18:58,34
S00148,B0085,Packlina 1,Lådresare,2025-01-27 23:33,2025-01-28 00:13,40
S00149,B0085,Packlina 1,Sammanräkning,2025-01-27 22:03,2025-01-27 22:47,44
S00150,B0085,Packlina 1,Urlastare,2025-01-27 23:51,2025-01-28 00:24,33
S00151,B0086,Packlina 2,Urlastare,2025-01-06 18:51,2025-01-06 19:12,21
S00152,B0086,Packlina 2,Sammanräkning,2025-01-06 15:54,2025-01-06 16:32,38
S00153,B0086,Packlina 2,Sammanräkning,2025-01-06 15:15,2025-01-06 15:37,22
S00154,B0088,Packlina 1,Lådresare,2025-01-21 12:12,2025-01-21 12:34,22
S00155,B0088,Packlina 1,Väntar på påsar,2025-01-21 13:39,2025-01-21 14:18,39
S00156,B0089,Packlina 2,Sammanräkning,2025-02-07 17:41,2025-02-07 18:00,19
S00157,B0090,Packlina 2,Väntar på påsar,2025-01-20 18:27,2025-01-20 18:45,18
S00158,B0091,Packlina 3,Sammanräkning,2025-02-14 15:16,2025-02-14 15:42,26
S00159,B0091,Packlina 3,Urlastare,2025-02-14 15:24,2025-02-14 15:32,8
S00160,B0091,Packlina 3,Väntar på påsar,2025-02-14 15:29,2025-02-14 15:58,29
S00161,B0092,Packlina 2,Väntar på påsar,2025-01-29 15:12,2025-01-29 15:47,35
S00162,B0092,Packlina 2,Sammanräkning,2025-01-29 14:58,2025-01-29 15:22,24
S00163,B0092,Packlina 2,Urlastare,2025-01-29 15:32,2025-01-29 16:11,39
S00164,B0092,Packlina 2,Lådresare,2025-01-29 16:07,2025-01-29 16:26,19
S00165,B0093,Packlina 1,Sammanräkning,2025-02-01 15:42,2025-02-01 15:48,6
S00166,B0093,Packlina 1,Urlastare,2025-02-01 13:09,2025-02-01 13:39,30
S00167,B0093,Packlina 1,Väntar på påsar,2025-02-01 15:23,2025-02-01 15:36,13
S00168,B0094,Packlina 2,Väntar på påsar,2025-01-16 18:17,2025-01-16 18:58,41
S00169,B0094,Packlina 2,Urlastare,2025-01-16 09:36,2025-01-16 10:08,32
S00170,B0094,Packlina 2,Väntar på påsar,2025-01-16 16:03,2025-01-16 16:19,16
S00171,B0095,Packlina 3,Urlastare,2025-01-29 20:11,2025-01-29 20:36,25
S00172,B0095,Packlina 3,Lådresare,2025-01-29 21:28,2025-01-29 21:53,25
S00173,B0096,Packlina 3,Lådresare,2025-01-14 21:34,2025-01-14 22:05,31
S00174,B0096,Packlina 3,Väntar på påsar,2025-01-14 18:13,2025-01-14 18:48,35
S00175,B0096,Packlina 3,Urlastare,2025-01-14 17:43,2025-01-14 18:10,27
S00176,B0100,Packlina 1,Urlastare,2025-01-04 12:23,2025-01-04 12:29,6
S00177,B0101,Packlina 2,Väntar på påsar,2025-01-08 16:18,2025-01-08 16:53,35
S00178,B0102,Packlina 2,Lådresare,2025-01-06 20:05,2025-01-06 20:39,34
S00179,B0102,Packlina 2,Väntar på påsar,2025-01-06 22:39,2025-01-06 22:54,15
S00180,B0102,Packlina 2,Väntar på påsar,2025-01-06 19:09,2025-01-06 19:33,24
S00181,B0102,Packlina 2,Sammanräkning,2025-01-06 16:48,2025-01-06 17:12,24
S00182,B0103,Packlina 1,Urlastare,2025-02-13 14:08,2025-02-13 14:17,9
S00183,B0103,Packlina 1,Väntar på påsar,2025-02-13 12:29,2025-02-13 12:53,24
S00184,B0103,Packlina 1,Lådresare,2025-02-13 20:24,2025-02-13 20:31,7
S00185,B0104,Packlina 2,Väntar på påsar,2025-02-07 20:54,2025-02-07 21:22,28
S00186,B0104,Packlina 2,Väntar på påsar,2025-02-07 22:14,2025-02-07 22:40,26
S00187,B0104,Packlina 2,Väntar på påsar,2025-02-07 20:46,2025-02-07 21:22,36
S00188,B0104,Packlina 2,Sammanräkning,2025-02-07 20:59,2025-02-07 21:27,28
S00189,B0105,Packlina 2,Lådresare,2025-01-11 19:12,2025-01-11 19:28,16
S00190,B0106,Packlina 3,Sammanräkning,2025-01-30 16:51,2025-01-30 17:26,35
S00191,B0106,Packlina 3,Lådresare,2025-01-30 15:06,2025-01-30 15:48,42
S00192,B0106,Packlina 3,Väntar på påsar,2025-01-30 13:10,2025-01-30 13:30,20
S00193,B0106,Packlina 3,Urlastare,2025-01-30 12:25,2025-01-30 12:58,33
S00194,B0107,Packlina 3,Sammanräkning,2025-02-13 01:08,2025-02-13 01:52,44
S00195,B0107,Packlina 3,Sammanräkning,2025-02-12 21:09,2025-02-12 21:15,6
S00196,B0107,Packlina 3,Sammanräkning,2025-02-12 20:57,2025-02-12 21:13,16
S00197,B0108,Packlina 2,Lådresare,2025-01-04 15:41,2025-01-04 16:02,21
S00198,B0109,Packlina 3,Väntar på påsar,2025-01-08 16:49,2025-01-08 17:11,22
S00199,B0109,Packlina 3,Väntar på påsar,2025-01-08 15:28,2025-01-08 15:45,17
S00200,B0110,Packlina 1,Urlastare,2025-01-06 16:56,2025-01-06 17:32,36
S00201,B0111,Packlina 1,Sammanräkning,2025-02-15 22:09,2025-02-15 22:45,36
S00202,B0111,Packlina 1,Lådresare,2025-02-15 11:25,2025-02-15 11:35,10
S00203,B0111,Packlina 1,Urlastare,2025-02-15 14:54,2025-02-15 15:24,30
S00204,B0112,Packlina 1,Lådresare,2025-02-05 14:55,2025-02-05 15:30,35
S00205,B0112,Packlina 1,Lådresare,2025-02-05 15:53,2025-02-05 16:33,40
S00206,B0113,Packlina 1,Lådresare,2025-01-27 23:57,2025-01-28 00:31,34
S00207,B0113,Packlina 1,Urlastare,2025-01-27 17:11,2025-01-27 17:32,21
S00208,B0115,Packlina 2,Urlastare,2025-01-21 14:46,2025-01-21 14:58,12
S00209,B0116,Packlina 2,Lådresare,2025-01-21 17:55,2025-01-21 18:30,35
S00210,B0117,Packlina 3,Lådresare,2025-02-01 15:44,2025-02-01 16:27,43
S00211,B0117,Packlina 3,Lådresare,2025-02-01 08:29,2025-02-01 08:46,17
S00212,B0117,Packlina 3,Urlastare,2025-02-01 10:39,2025-02-01 11:07,28
S00213,B0117,Packlina 3,Urlastare,2025-02-01 11:56,2025-02-01 12:01,5
S00214,B0118,Packlina 2,Lådresare,2025-02-03 14:20,2025-02-03 14:28,8
S00215,B0118,Packlina 2,Sammanräkning,2025-02-03 19:54,2025-02-03 20:07,13
S00216,B0121,Packlina 3,Sammanräkning,2025-01-15 12:33,2025-01-15 13:08,35
S00217,B0121,Packlina 3,Urlastare,2025-01-15 15:13,2025-01-15 15:39,26
S00218,B0121,Packlina 3,Sammanräkning,2025-01-15 08:34,2025-01-15 08:55,21
S00219,B0121,Packlina 3,Sammanräkning,2025-01-15 09:38,2025-01-15 09:47,9
S00220,B0122,Packlina 1,Väntar på påsar,2025-01-02 07:34,2025-01-02 08:15,41
S00221,B0122,Packlina 1,Lådresare,2025-01-02 08:14,2025-01-02 08:28,14
S00222,B0122,Packlina 1,Väntar på påsar,2025-01-02 07:40,2025-01-02 08:00,20
S00223,B0123,Packlina 1,Urlastare,2025-02-07 00:54,2025-02-07 01:37,43
S00224,B0123,Packlina 1,Sammanräkning,2025-02-07 02:43,2025-02-07 03:12,29
S00225,B0123,Packlina 1,Sammanräkning,2025-02-07 01:21,2025-02-07 01:45,24
S00226,B0123,Packlina 1,Väntar på påsar,2025-02-06 23:00,2025-02-06 23:41,41
S00227,B0124,Packlina 2,Urlastare,2025-02-01 22:25,2025-02-01 22:36,11
S00228,B0124,Packlina 2,Lådresare,2025-02-01 21:27,2025-02-01 21:45,18
S00229,B0124,Packlina 2,Urlastare,2025-02-01 21:45,2025-02-01 21:55,10
S00230,B0124,Packlina 2,Väntar på påsar,2025-02-01 18:09,2025-02-01 18:25,16
S00231,B0125,Packlina 3,Sammanräkning,2025-01-30 11:06,2025-01-30 11:37,31
S00232,B0126,Packlina 3,Väntar på påsar,2025-02-10 21:25,2025-02-10 21:48,23
S00233,B0126,Packlina 3,Lådresare,2025-02-10 17:21,2025-02-10 17:44,23
S00234,B0126,Packlina 3,Väntar på påsar,2025-02-11 01:23,2025-02-11 01:57,34
S00235,B0126,Packlina 3,Lådresare,2025-02-11 01:07,2025-02-11 01:26,19
S00236,B0127,Packlina 2,Sammanräkning,2025-01-07 21:29,2025-01-07 21:46,17
S00237,B0127,Packlina 2,Urlastare,2025-01-07 12:09,2025-01-07 12:48,39
S00238,B0127,Packlina 2,Lådresare,2025-01-07 21:15,2025-01-07 21:29,14
S00239,B0127,Packlina 2,Väntar på påsar,2025-01-07 12:37,2025-01-07 12:46,9
S00240,B0128,Packlina 2,Lådresare,2025-02-12 19:40,2025-02-12 20:04,24
S00241,B0129,Packlina 1,Lådresare,2025-01-19 12:12,2025-01-19 12:46,34
S00242,B0129,Packlina 1,Sammanräkning,2025-01-19 16:57,2025-01-19 17:19,22
S00243,B0129,Packlina 1,Väntar på påsar,2025-01-19 17:33,2025-01-19 17:43,10
S00244,B0130,Packlina 3,Lådresare,2025-02-10 13:19,2025-02-10 14:02,43
S00245,B0130,Packlina 3,Urlastare,2025-02-10 08:15,2025-02-10 08:25,10
S00246,B0130,Packlina 3,Väntar på påsar,2025-02-10 17:38,2025-02-10 18:20,42
S00247,B0131,Packlina 2,Urlastare,2025-01-06 21:02,2025-01-06 21:09,7
S00248,B0131,Packlina 2,Sammanräkning,2025-01-06 19:13,2025-01-06 19:51,38
S00249,B0132,Packlina 2,Sammanräkning,2025-01-11 13:38,2025-01-11 14:20,42
S00250,B0132,Packlina 2,Väntar på påsar,2025-01-11 21:23,2025-01-11 21:59,36
S00251,B0133,Packlina 1,Lådresare,2025-01-05 14:30,2025-01-05 15:01,31
S00252,B0133,Packlina 1,Urlastare,2025-01-05 14:02,2025-01-05 14:13,11
S00253,B0133,Packlina 1,Sammanräkning,2025-01-05 14:11,2025-01-05 14:42,31
S00254,B0134,Packlina 3,Väntar på påsar,2025-01-06 18:33,2025-01-06 19:03,30
S00255,B0134,Packlina 3,Lådresare,2025-01-06 16:46,2025-01-06 16:56,10
S00256,B0135,Packlina 3,Sammanräkning,2025-02-07 18:11,2025-02-07 18:23,12
S00257,B0135,Packlina 3,Sammanräkning,2025-02-07 21:26,2025-02-07 21:31,5
S00258,B0136,Packlina 3,Lådresare,2025-02-09 10:51,2025-02-09 11:08,17
S00259,B0136,Packlina 3,Sammanräkning,2025-02-09 20:33,2025-02-09 20:46,13
S00260,B0136,Packlina 3,Lådresare,2025-02-09 10:48,2025-02-09 11:06,18
S00261,B0137,Packlina 2,Sammanräkning,2025-01-08 09:40,2025-01-08 10:03,23
S00262,B0137,Packlina 2,Väntar på påsar,2025-01-08 12:41,2025-01-08 12:53,12
S00263,B0137,Packlina 2,Urlastare,2025-01-08 13:55,2025-01-08 14:23,28
S00264,B0137,Packlina 2,Väntar på påsar,2025-01-08 09:54,2025-01-08 10:18,24
S00265,B0138,Packlina 1,Urlastare,2025-01-25 20:51,2025-01-25 21:01,10
S00266,B0138,Packlina 1,Väntar på påsar,2025-01-25 15:50,2025-01-25 16:24,34
S00267,B0138,Packlina 1,Sammanräkning,2025-01-26 00:57,2025-01-26 01:11,14
S00268,B0138,Packlina 1,Lådresare,2025-01-25 18:52,2025-01-25 19:29,37
S00269,B0139,Packlina 2,Urlastare,2025-02-02 00:54,2025-02-02 01:29,35
S00270,B0139,Packlina 2,Urlastare,2025-02-02 00:27,2025-02-02 01:07,40
S00271,B0139,Packlina 2,Urlastare,2025-02-01 23:12,2025-02-01 23:29,17
S00272,B0141,Packlina 1,Lådresare,2025-01-18 16:28,2025-01-18 16:54,26
S00273,B0141,Packlina 1,Lådresare,2025-01-18 09:26,2025-01-18 09:49,23
S00274,B0142,Packlina 3,Urlastare,2025-01-04 16:47,2025-01-04 17:23,36
S00275,B0142,Packlina 3,Sammanräkning,2025-01-04 15:39,2025-01-04 16:18,39
S00276,B0142,Packlina 3,Sammanräkning,2025-01-04 14:47,2025-01-04 15:13,26
S00277,B0142,Packlina 3,Urlastare,2025-01-04 15:44,2025-01-04 16:09,25
S00278,B0143,Packlina 3,Urlastare,2025-02-07 19:36,2025-02-07 20:05,29
S00279,B0144,Packlina 3,Sammanräkning,2025-01-18 09:22,2025-01-18 09:47,25
S00280,B0144,Packlina 3,Urlastare,2025-01-18 15:08,2025-01-18 15:37,29
S00281,B0144,Packlina 3,Urlastare,2025-01-18 17:05,2025-01-18 17:12,7
S00282,B0145,Packlina 1,Väntar på påsar,2025-01-01 22:20,2025-01-01 22:46,26
S00283,B0145,Packlina 1,Sammanräkning,2025-01-01 19:46,2025-01-01 19:57,11
S00284,B0145,Packlina 1,Sammanräkning,2025-01-01 12:31,2025-01-01 12:45,14
S00285,B0145,Packlina 1,Väntar på påsar,2025-01-01 23:26,2025-01-01 23:40,14
S00286,B0146,Packlina 1,Sammanräkning,2025-01-27 17:23,2025-01-27 17:49,26
S00287,B0146,Packlina 1,Lådresare,2025-01-27 20:40,2025-01-27 20:50,10
S00288,B0146,Packlina 1,Lådresare,2025-01-27 19:41,2025-01-27 20:10,29
S00289,B0147,Packlina 3,Väntar på påsar,2025-01-29 23:59,2025-01-30 00:06,7
S00290,B0147,Packlina 3,Lådresare,2025-01-29 18:45,2025-01-29 19:30,45
S00291,B0147,Packlina 3,Sammanräkning,2025-01-29 18:37,2025-01-29 18:47,10
S00292,B0150,Packlina 2,Väntar på påsar,2025-01-25 19:11,2025-01-25 19:35,24
S00293,B0150,Packlina 2,Väntar på påsar,2025-01-25 17:08,2025-01-25 17:33,25
S00294,B0150,Packlina 2,Lådresare,2025-01-25 21:21,2025-01-25 21:48,27
