batch_id,packlina_id,produkt,antal_påsar,antal_godkända,antal_kasserade,starttid,sluttid,status
B0040,Packlina 3,Smofkabiven,2884,2857,27,2025-02-12 15:27,2025-02-12 23:27,Avslutad
B0041,Packlina 3,Kabiven,6301,6252,49,2025-01-18 10:48,2025-01-18 21:48,Avslutad
B0042,Packlina 2,Aminoven,5217,5200,17,2025-01-17 06:52,2025-01-17 15:52,Avslutad
B0043,Packlina 1,Smoflipid,9873,9851,22,2025-01-11 13:32,2025-01-12 02:32,Avslutad
B0044,Packlina 3,Kabiven,10227,10048,179,2025-02-04 06:36,2025-02-04 20:36,Avslutad
B0045,Packlina 1,Smoflipid,11858,11751,107,2025-01-24 06:40,2025-01-24 15:40,Avslutad
B0046,Packlina 3,Aminoven,3584,3488,96,2025-02-09 08:38,2025-02-09 16:38,Avslutad
B0047,Packlina 3,Smoflipid,5055,5022,33,2025-01-27 17:25,2025-01-28 06:25,Avslutad
B0048,Packlina 2,Smofkabiven,6412,6344,68,2025-01-31 09:47,2025-01-31 19:47,Avslutad
B0049,Packlina 1,Kabiven,6062,6003,59,2025-01-02 17:15,2025-01-03 03:15,Avslutad
B0050,Packlina 2,Smoflipid,6109,5936,173,2025-02-11 14:41,2025-02-12 03:41,Avslutad
B0051,Packlina 2,Kabiven,10458,10310,148,2025-02-07 10:31,2025-02-07 16:31,Avslutad
B0052,Packlina 2,Aminoven,10130,10056,74,2025-02-08 14:43,2025-02-08 23:43,Avslutad
B0053,Packlina 2,Smofkabiven,6651,6557,94,2025-02-03 15:11,2025-02-04 03:11,Dumpad
B0054,Packlina 2,Smoflipid,8992,8896,96,2025-02-12 08:07,2025-02-12 21:07,Avslutad
B0055,Packlina 2,Smoflipid,11578,11250,328,2025-02-05 08:10,2025-02-05 18:10,Avslutad
B0056,Packlina 1,Smoflipid,5662,5605,57,2025-01-26 15:21,2025-01-27 03:21,Avslutad
B0057,Packlina 3,Smoflipid,9059,8921,138,2025-01-30 13:32,2025-01-30 23:32,Avslutad
B0058,Packlina 3,Kabiven,11560,11332,228,2025-02-12 07:26,2025-02-12 19:26,Avslutad
B0059,Packlina 1,Smoflipid,1441,1428,13,2025-01-15 09:23,2025-01-15 16:23,Avslutad
B0060,Packlina 1,Aminoven,6975,6864,111,2025-01-27 16:44,2025-01-28 03:44,Avslutad
B0061,Packlina 3,Smofkabiven,9170,9032,138,2025-01-07 13:15,2025-01-07 21:15,Avslutad
B0062,Packlina 1,Aminoven,9841,9657,184,2025-01-09 13:55,2025-01-10 04:55,Dumpad
B0063,Packlina 2,Aminoven,8057,7982,75,2025-02-05 13:36,2025-02-05 23:36,Avslutad
B0064,Packlina 3,Smoflipid,5183,5109,74,2025-02-03 14:16,2025-02-04 02:16,Avslutad
B0065,Packlina 1,Smoflipid,2951,2933,18,2025-01-22 11:27,2025-01-22 21:27,Avslutad
B0066,Packlina 1,Kabiven,9574,9430,144,2025-01-05 13:04,2025-01-06 00:04,Avslutad
B0067,Packlina 2,Aminoven,6916,6810,106,2025-02-07 17:52,2025-02-08 03:52,Dumpad
B0068,Packlina 2,Aminoven,10567,10280,287,2025-01-27 15:11,2025-01-28 06:11,Avslutad
B0069,Packlina 2,Aminoven,11642,11397,245,2025-02-01 06:29,2025-02-01 17:29,Avslutad
B0070,Packlina 1,Aminoven,7139,7006,133,2025-01-09 16:37,2025-01-10 02:37,Avslutad
B0071,Packlina 1,Aminoven,4946,4884,62,2025-01-09 13:52,2025-01-09 20:52,Avslutad
B0072,Packlina 2,Smoflipid,4817,4695,122,2025-01-25 10:44,2025-01-26 01:44,Avslutad
B0073,Packlina 3,Smofkabiven,11362,11326,36,2025-01-23 09:49,2025-01-23 20:49,Avslutad
B0074,Packlina 1,Kabiven,2752,2710,42,2025-01-02 16:36,2025-01-03 00:36,Avslutad
B0075,Packlina 1,Aminoven,3433,3368,65,2025-02-14 10:22,2025-02-15 00:22,Dumpad
B0076,Packlina 3,Smofkabiven,1104,1073,31,2025-01-11 11:18,2025-01-11 21:18,Avslutad
B0077,Packlina 2,Aminoven,11999,11696,303,2025-02-15 09:23,2025-02-15 19:23,Avslutad
B0078,Packlina 3,Smoflipid,9956,9718,238,2025-02-13 16:14,2025-02-14 04:14,Avslutad
B0079,Packlina 2,Smoflipid,891,868,23,2025-01-05 14:38,2025-01-06 03:38,Avslutad
B0080,Packlina 1,Aminoven,3190,3145,45,2025-01-24 16:50,2025-01-25 07:50,Avslutad
B0081,Packlina 3,Smoflipid,8300,8182,118,2025-02-09 15:11,2025-02-10 06:11,Avslutad
B0082,Packlina 2,Smoflipid,4679,4571,108,2025-01-16 07:28,2025-01-16 18:28,Avslutad
B0083,Packlina 3,Aminoven,3663,3606,57,2025-01-22 06:29,2025-01-22 17:29,Avslutad
B0084,Packlina 2,Smoflipid,9790,9768,22,2025-01-18 16:10,2025-01-19 05:10,Dumpad
B0085,Packlina 1,Kabiven,11998,11814,184,2025-01-27 14:20,2025-01-28 01:20,Avslutad
B0086,Packlina 2,Smofkabiven,4670,4621,49,2025-01-06 11:01,2025-01-06 21:01,Avslutad
B0087,Packlina 2,Smoflipid,8118,8040,78,2025-01-28 15:23,2025-01-29 01:23,Avslutad
B0088,Packlina 1,Kabiven,11991,11905,86,2025-01-21 08:02,2025-01-21 23:02,Avslutad
B0089,Packlina 2,Smoflipid,2331,2272,59,2025-02-07 14:57,2025-02-08 02:57,Avslutad
B0090,Packlina 2,Kabiven,2757,2730,27,2025-01-20 06:14,2025-01-20 21:14,Dumpad
B0091,Packlina 3,Smoflipid,2364,2302,62,2025-02-14 08:09,2025-02-14 22:09,Avslutad
B0092,Packlina 2,Aminoven,4820,4683,137,2025-01-29 11:48,2025-01-29 18:48,Avslutad
B0093,Packlina 1,Aminoven,3169,3149,20,2025-02-01 07:15,2025-02-01 17:15,Avslutad
B0094,Packlina 2,Smofkabiven,10617,10419,198,2025-01-16 08:01,2025-01-16 21:01,Avslutad
B0095,Packlina 3,Aminoven,7709,7628,81,2025-01-29 13:33,2025-01-30 01:33,Avslutad
B0096,Packlina 3,Smofkabiven,11504,11455,49,2025-01-14 16:40,2025-01-15 01:40,Avslutad
B0097,Packlina 3,Smofkabiven,11978,11755,223,2025-01-11 06:02,2025-01-11 18:02,Avslutad
B0098,Packlina 1,Smoflipid,1850,1811,39,2025-02-15 10:49,2025-02-16 00:49,Dumpad
B0099,Packlina 3,Kabiven,11294,11224,70,2025-01-28 07:57,2025-01-28 18:57,Avslutad
B0100,Packlina 1,Smofkabiven,10433,10193,240,2025-01-04 08:49,2025-01-04 22:49,Avslutad
B0101,Packlina 2,Aminoven,7278,7071,207,2025-01-08 13:59,2025-01-09 02:59,Avslutad
B0102,Packlina 2,Aminoven,5964,5851,113,2025-01-06 16:12,2025-01-07 01:12,Avslutad
B0103,Packlina 1,Smofkabiven,3554,3500,54,2025-02-13 10:35,2025-02-13 20:35,Avslutad
B0104,Packlina 2,Kabiven,2178,2145,33,2025-02-07 13:26,2025-02-08 03:26,Avslutad
B0105,Packlina 2,Smofkabiven,5406,5295,111,2025-01-11 11:37,2025-01-11 23:37,Avslutad
B0106,Packlina 3,Smofkabiven,5980,5949,31,2025-01-30 07:30,2025-01-30 17:30,Avslutad
B0107,Packlina 3,Smofkabiven,1572,1561,11,2025-02-12 15:15,2025-02-13 03:15,Avslutad
B0108,Packlina 2,Aminoven,2830,2751,79,2025-01-04 09:28,2025-01-04 21:28,Avslutad
B0109,Packlina 3,Aminoven,4604,4503,101,2025-01-08 06:29,2025-01-08 21:29,Avslutad
B0110,Packlina 1,Aminoven,8244,8009,235,2025-01-06 09:50,2025-01-06 21:50,Avslutad
B0111,Packlina 1,Aminoven,7491,7301,190,2025-02-15 10:58,2025-02-15 22:58,Dumpad
B0112,Packlina 1,Aminoven,10504,10334,170,2025-02-05 08:28,2025-02-05 18:28,Avslutad
B0113,Packlina 1,Smoflipid,5061,4935,126,2025-01-27 11:48,2025-01-28 03:48,Avslutad
B0114,Packlina 2,Aminoven,6338,6266,72,2025-01-10 13:37,2025-01-11 02:37,Avslutad
B0115,Packlina 2,Aminoven,10052,9924,128,2025-01-21 09:13,2025-01-21 21:13,Avslutad
B0116,Packlina 2,Smofkabiven,7009,6801,208,2025-01-21 14:04,2025-01-22 04:04,Avslutad
B0117,Packlina 3,Kabiven,10353,10236,117,2025-02-01 06:37,2025-02-01 17:37,Avslutad
B0118,Packlina 2,Smofkabiven,7401,7206,195,2025-02-03 13:47,2025-02-03 20:47,Dumpad
B0119,Packlina 1,Aminoven,11330,11282,48,2025-01-17 11:46,2025-01-18 00:46,Avslutad
B0120,Packlina 3,Aminoven,9548,9519,29,2025-01-21 16:41,2025-01-22 06:41,Avslutad
B0121,Packlina 3,Smoflipid,11067,10827,240,2025-01-15 07:32,2025-01-15 16:32,Avslutad
B0122,Packlina 1,Smoflipid,5490,5424,66,2025-01-02 06:47,2025-01-02 14:47,Avslutad
B0123,Packlina 1,Aminoven,3469,3445,24,2025-02-06 17:38,2025-02-07 06:38,Avslutad
B0124,Packlina 2,Kabiven,8239,8075,164,2025-02-01 15:57,2025-02-01 23:57,Avslutad
B0125,Packlina 3,Smofkabiven,3272,3259,13,2025-01-30 10:54,2025-01-31 01:54,Dumpad
B0126,Packlina 3,Smoflipid,8168,7958,210,2025-02-10 13:14,2025-02-11 02:14,Avslutad
B0127,Packlina 2,Aminoven,6565,6446,119,2025-01-07 10:02,2025-01-07 23:02,Dumpad
B0128,Packlina 2,Smofkabiven,9956,9695,261,2025-02-12 12:45,2025-02-12 20:45,Avslutad
B0129,Packlina 1,Aminoven,4272,4187,85,2025-01-19 09:55,2025-01-19 21:55,Avslutad
B0130,Packlina 3,Kabiven,5745,5607,138,2025-02-10 07:39,2025-02-10 18:39,Avslutad
B0131,Packlina 2,Kabiven,3561,3534,27,2025-01-06 11:02,2025-01-06 22:02,Avslutad
B0132,Packlina 2,Smoflipid,5519,5393,126,2025-01-11 10:23,2025-01-12 01:23,Avslutad
B0133,Packlina 1,Aminoven,11764,11502,262,2025-01-05 08:24,2025-01-05 21:24,Dumpad
B0134,Packlina 3,Smoflipid,9475,9423,52,2025-01-06 12:44,2025-01-06 20:44,Avslutad
B0135,Packlina 3,Smoflipid,2459,2408,51,2025-02-07 12:30,2025-02-08 02:30,Avslutad
B0136,Packlina 3,Smoflipid,11094,10816,278,2025-02-09 09:46,2025-02-09 20:46,Avslutad
B0137,Packlina 2,Aminoven,5670,5501,169,2025-01-08 08:23,2025-01-08 14:23,Avslutad
B0138,Packlina 1,Kabiven,7550,7411,139,2025-01-25 13:44,2025-01-26 01:44,Avslutad
B0139,Packlina 2,Smofkabiven,1220,1194,26,2025-02-01 16:30,2025-02-02 03:30,Avslutad
B0140,Packlina 2,Kabiven,9604,9342,262,2025-01-24 07:41,2025-01-24 20:41,Avslutad
B0141,Packlina 1,Aminoven,2185,2140,45,2025-01-18 09:14,2025-01-18 18:14,Avslutad
B0142,Packlina 3,Smofkabiven,9934,9857,77,2025-01-04 11:41,2025-01-04 19:41,Avslutad
B0143,Packlina 3,Kabiven,6067,5923,144,2025-02-07 09:41,2025-02-07 22:41,Avslutad
B0144,Packlina 3,Smofkabiven,4790,4673,117,2025-01-18 08:28,2025-01-18 19:28,Avslutad
B0145,Packlina 1,Kabiven,10331,10217,114,2025-01-01 12:06,2025-01-02 01:06,Avslutad
B0146,Packlina 1,Kabiven,8486,8363,123,2025-01-27 14:58,2025-01-27 20:58,Avslutad
B0147,Packlina 3,Smofkabiven,1394,1363,31,2025-01-29 14:35,2025-01-30 01:35,Avslutad
B0148,Packlina 3,Smoflipid,8531,8312,219,2025-01-30 16:58,2025-01-30 22:58,Avslutad
B0149,Packlina 1,Aminoven,5961,5848,113,2025-02-15 13:34,2025-02-15 19:34,Avslutad
B0150,Packlina 2,Smoflipid,8117,7986,131,2025-01-25 16:11,2025-01-26 04:11,Avslutad
